Facility Name,Facility RRID,Institution Name,City,State,Country,Website,Services,Description
AU-FACS Core Facility,RRID:SCR_022323,Aarhus University,Aarhus,,United States of America,www.facs.au.dk,"Data Analysis,Data Analysis And Interpretation,FACS Cell Sorting,Flow Cytometric Analysis,Flow Cytometry Data Analysis,Imaging Flow Cytometry,Multi-color Flow Cytometry,Single-Cell Analysis,Training","The FACS Core Facility at Aarhus University is an open fee-for-service SRL. The facility has 3 highly skilled staff, taking care of training and maintenance. The facility is equipped with 2 cell sorters, 4 analyzers, 1 ImageStream and 1 full spectrum flow cytometer."
Epigenomics Shared Facility (ESF),RRID:SCR_023284,Albert Einstein College of Medicine,Bronx,NY,United States,https://www.einsteinmed.edu/research/shared-facilities/cores/53/epigenomics/,"10x Genomics,AlloSeq Tx17 (HLA Genotyping),ATAC-Seq,CDNA Synthesis,ChIP-Seq,CITE-seq,Computational - Bioinformatics,CUT&RUN-Seq,CUT&Tag-R-Loop-Seq,CUT&Tag-Seq,DNA Analysis,DNA Isolation,EM-Seq (Enzymatic Methyl-seq) ,Genomics,Long Read Sequencing Utilizing Oxford Nanopore’s MinION Platform,Metabolomics,Metagenomics Analysis,Methylation Analysis,Ribosomal Reduction ,RNA analysis,RNA Integrity,RNA Isolation,RNA Modification Analysis,RNAseq,Single-Cell Analysis,Single-cell Sequencing,Small/miRNA-Seq,Targeted RNA-Seq ,Targeted-Seq,Ultra-Low RNA-Seq,WEM-Seq (whole Exome Sequencing)","The Epigenomics Shared Facility (ESF), part of Einstein’s Center for Epigenomics and an Illumina CSPro (certified service provider) laboratory, offers massively-parallel sequencing (MPS) including fully-automated library preparation, quality control and assurance, and a number of assays to study the genome/epigenome. Data analytical services are provided by the Computational Genomics Facility. The ESF supports diverse assays for MPS analysis and strive to bring cutting-edge technologies. The services include library preparation and sequencing plus Data Storage, primary data return,..."
Nemours Cell Science Core,RRID:SCR_017854,Alfred I. duPont Hospital for Children,Wilmington,DE,United States of America,https://my.ilabsolutions.com/service_center/show_external/4003,"2D-PAGE,Blood Processing,Cell Culture,Cell Sorting,Consultations,Flow Cytometric Analysis,Proteomics,Shared Instrumentation Oversight & Maintenance,Tissue Culture,Western Blot","Services include: flow cytometry, cell sorting, cell & tissue culture, immortalization of cell lines, and 2-D DIGE. Additionally, CSC staff offer training and assistance in flow cytometry, tissue culture, and operation of many of our walk up instruments."
ATCC Sequencing & Bioinformatics Center,RRID:SCR_021346,American Type Culture Collection,Manassas,VA,United States,https://www.atcc.org/services,"BioBanking,Biorepository,Capillary Electrophoresis,CDNA Synthesis,Cell Culture,Cell Line Authentication,Computational - Bioinformatics,Computational - Biostatistics,Computational - High Performance Computing,Copy Number Variation (CNV),Data Analysis,Data Analysis And Interpretation,Data Processing,Data Processing And Interpretation,Data Visualization,DNA Analysis,DNA Isolation,Droplet Digital PCR,Exosomes Characterisation,Genome/Transcriptome Assembly And Annotation,Genomics,Genotyping,Genotyping-by-sequencing,High-throughput Screening,Long Read Sequencing,Metagenomics Analysis,Microbiological Culturing,Microbiome,Mycoplasma Detection,Nanopore Sequencing,Phenotyping,Quantitative DNA Sequence Mapping,Real-time qPCR,RNA analysis,RNA Integrity,RNA Isolation,RNAseq,Sample Accessioning,Sample Preparation,Sequencing - Capillary Sequencing,Sequencing - DNA Sequencing,Sequencing - Next Generation Sequencing (NGS),Single-Cell Analysis,Single-cell Sequencing,TaqMan Arrays,Virology,Whole Exome Sequencing,Whole Genome Se","We are the core genomics and bioinformatics group at the American Type Culture Collection (ATCC). We offer whole genome sequencing and advanced bioinformatics analysis for a wide range of biological materials - ranging from viruses and bacteria, to fungi and human or animal cell lines. In addition to extensive sequencing capabilities, we also offer genome assembly, verified annotation, functional genomics analysis, transcriptomics analysis, cell line contamination assessments, microbiome profiling, and advanced cell line authentication services."
Auburn University Flow Cytometry and High-Speed Cell Sorting Laboratory Core Facility,RRID:SCR_025507,Auburn University,Auburn,,United States of America,https://www.vetmed.auburn.edu/research/flow-cytometry-laboratory/,"FACS Cell Sorting,Flow Cytometry,Flow Cytometry Training",Flow Cytometry Laboratory at Auburn University College of Veterinary Medicine provides operator-managed and assisted support for flow cytometry analyses and high-speed cell sorting.
"BNI Biobank, Flow Cytometry and Genomics Core Facilities",RRID:SCR_021133,Barrow Neurological Institute,Phoenix,AZ,United States of America,https://www.barrowneuro.org/for-physicians-researchers/research/research-at-barrow/active-research-studies/flow-cytometry-core-facility/,"10x Genomics,BioBanking,Biorepository,Bioshipping,Cell Sorting,Computational - Bioinformatics,Computational - Biostatistics,DNA Analysis,DNA Isolation,FACS Cell Sorting,Flow Cytometric Analysis,Flow Cytometry Data Analysis,Genomics,Molecular Library Services,Nanostring,Nanostring NCounter,RNA analysis,RNA Integrity,RNA Isolation,RNAseq,Sequencing - Next Generation Sequencing (NGS),Single-Cell Analysis,Single-cell Sequencing","Recently added services! We are now excited to offer RNA/DNA integrity analyses, library prep and sequencing services with our Qiaxcel System and Illumina NextSeq 2000. 
 
 Our facility has over 100,000 human specimens banked for your research needs"
BCM Mass Spectrometry Proteomics Core,RRID:SCR_027015,Baylor College of Medicine,Houston,TX,,https://www.bcm.edu/research/atc-core-labs/mass-spectrometry-proteomics-core,"Protein Interactions (IP/MS, AP/MS, Proximity Labeling, DNA-protein Interactions, Chemoproteomics),Protein Post-translational Modification (PTM) Identification,Protein Post-Translational Modification Profiling (TMT, Label-Free),Protein Profiling And Quantitation (Label-Free Quantitation, TMT, SILAC)","Mass Spectrometry Proteomics Core provides a broad range of services with beginning-to-end support that includes project evaluation and design, sample processing and biochemical purifications, mass spectrometry measurements, data processing, and bioinformatics analysis performed by the experienced core personnel."
BCM-RNA In Situ Hybridization Core,RRID:SCR_017856,Baylor College of Medicine,Houston,TX,United States of America,https://www.bcm.edu/research/advanced-technology-core-labs/lab-listing/rna-in-situ-hybridization,"In Situ Hybridization,Slide Scanning,Whole Slide Imaging","We perform mRNA or microRNA in situ hybridization on tissue sections. The ISH is performed on a liquid handling robot that can handle up to 196 slides per experiment and we can develop the signal with chromogenic or fluorescent methods. 
 We can also assist with rodent dissections and embedding of tissue for local customers, and cryostat sectioning, mRNA probe production and imaging (whole slide scanning) for all customers."
Optical Imaging & Vital Microscopy (OiVM),RRID:SCR_019297,Baylor College of Medicine,Houston,TX,United States of America,http://bcm.edu/oivm,"3D Visualization,Analysis Workstations,Cell Imaging,Confocal Microscopy,In Situ Hybridization,In-vivo Imaging,Light-sheet Microscopy,MicroCT,Microscopy,Multiphoton Microscopy,Optical Imaging,Optical Projection Tomography (OPT),Outreach,Super-resolution Microscopy,Whole Slide Imaging","The Optical Imaging & Vital Microscopy (OiVM) Core provides state-of-the-art instrumentation and cutting-edge imaging/image analysis tools for the research applications of a broad range of Baylor College of Medicine investigators. This core is dedicated to vital and intravital imaging of cellular processes within cells, intact tissue explants, developing embryos and functioning organs within the live animal. Our users are focused on a variety of applications such as understanding cell migration, optimizing angiogenic therapies, how blood flow influences development and cancer, immune cell..."
BCCHR-FLOWCORE,RRID:SCR_022790,BC Children's Hospital Foundation,Vancouver,BC,Canada,https://www.bcchr.ca/flowcore,"Cell Sorting,FACS Cell Sorting,Flow Cytometric Analysis,Flow Cytometry Data Analysis","The BCCHR Flow Cytometry Core provides state-of-the-art equipment for flow cytometric analysis, full-service cell sorting, as well as training, and dissemination."
